customer_id,first_name,last_name,customer_name,phone,email,street,city,state,zip_code
1,Debra,Burks,Debra Burks,(911) 444-8888,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127
2,Kasha,Todd,Kasha Todd,(911) 444-8888,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008
3,Tameka,Fisher,Tameka Fisher,(911) 444-8888,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278
4,Daryl,Spence,Daryl Spence,(911) 444-8888,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553
5,Charolette,Rice,Charolette Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820
6,Lyndsey,Bean,Lyndsey Bean,(911) 444-8888,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450
7,Latasha,Hays,Latasha Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215
8,Jacquline,Duncan,Jacquline Duncan,(911) 444-8888,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372
9,Genoveva,Baldwin,Genoveva Baldwin,(911) 444-8888,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050
10,Pamelia,Newman,Pamelia Newman,(911) 444-8888,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950
11,Deshawn,Mendoza,Deshawn Mendoza,(911) 444-8888,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952
12,Robby,Sykes,Robby Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550
13,Lashawn,Ortiz,Lashawn Ortiz,(911) 444-8888,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604
14,Garry,Espinoza,Garry Espinoza,(911) 444-8888,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126
15,Linnie,Branch,Linnie Branch,(911) 444-8888,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901
16,Emmitt,Sanchez,Emmitt Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002
17,Caren,Stephens,Caren Stephens,(911) 444-8888,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583
18,Georgetta,Hardin,Georgetta Hardin,(911) 444-8888,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424
19,Lizzette,Stein,Lizzette Stein,(911) 444-8888,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127
20,Aleta,Shepard,Aleta Shepard,(911) 444-8888,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478
21,Tobie,Little,Tobie Little,(911) 444-8888,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904
22,Adelle,Larsen,Adelle Larsen,(911) 444-8888,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731
23,Kaylee,English,Kaylee English,(911) 444-8888,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423
24,Corene,Wall,Corene Wall,(911) 444-8888,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301
25,Regenia,Vaughan,Regenia Vaughan,(911) 444-8888,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541
26,Theo,Reese,Theo Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561
27,Santos,Valencia,Santos Valencia,(911) 444-8888,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104
28,Jeanice,Frost,Jeanice Frost,(911) 444-8888,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562
29,Syreeta,Hendricks,Syreeta Hendricks,(911) 444-8888,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541
30,Jamaal,Albert,Jamaal Albert,(911) 444-8888,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505
31,Williemae,Holloway,Williemae Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603
32,Araceli,Golden,Araceli Golden,(911) 444-8888,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831
33,Deloris,Burke,Deloris Burke,(911) 444-8888,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274
34,Brittney,Woodward,Brittney Woodward,(911) 444-8888,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731
35,Guillermina,Noble,Guillermina Noble,(911) 444-8888,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027
36,Bernita,Mcdaniel,Bernita Mcdaniel,(911) 444-8888,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090
37,Melia,Brady,Melia Brady,(911) 444-8888,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378
38,Zelma,Browning,Zelma Browning,(911) 444-8888,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102
39,Janetta,Aguirre,Janetta Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086
40,Ronna,Butler,Ronna Butler,(911) 444-8888,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316
41,Kathie,Freeman,Kathie Freeman,(911) 444-8888,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804
42,Tangela,Quinn,Tangela Quinn,(911) 444-8888,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418
43,Mozelle,Carter,Mozelle Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016
44,Onita,Johns,Onita Johns,(911) 444-8888,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003
45,Bennett,Armstrong,Bennett Armstrong,(911) 444-8888,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714
46,Monika,Berg,Monika Berg,(911) 444-8888,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316
47,Bridgette,Guerra,Bridgette Guerra,(911) 444-8888,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580
48,Cesar,Jackson,Cesar Jackson,(911) 444-8888,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090
49,Caroll,Hays,Caroll Hays,(911) 444-8888,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450
50,Cleotilde,Booth,Cleotilde Booth,(911) 444-8888,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478
51,Gertrud,Rhodes,Gertrud Rhodes,(911) 444-8888,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566
52,Tu,Ramirez,Tu Ramirez,(911) 444-8888,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369
53,Saturnina,Garner,Saturnina Garner,(911) 444-8888,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740
54,Fran,Yang,Fran Yang,(911) 444-8888,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501
55,Diana,Guerra,Diana Guerra,(911) 444-8888,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566
56,Lolita,Mosley,Lolita Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016
57,Pamala,Henry,Pamala Henry,(911) 444-8888,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451
58,Damien,Dorsey,Damien Dorsey,(911) 444-8888,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722
59,Latasha,Stanley,Latasha Stanley,(911) 444-8888,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570
60,Neil,Mccall,Neil Mccall,(911) 444-8888,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070
61,Elinore,Aguilar,Elinore Aguilar,(911) 444-8888,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,76901
62,Alica,Hunter,Alica Hunter,(911) 444-8888,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,11369
63,Tenisha,Lyons,Tenisha Lyons,(911) 444-8888,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,11701
64,Bobbie,Foster,Bobbie Foster,(911) 444-8888,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,75115
65,Kanesha,Vega,Kanesha Vega,(911) 444-8888,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,13440
66,Lorrie,Becker,Lorrie Becker,(911) 444-8888,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,75043
67,Tommie,Melton,Tommie Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820
68,Jayne,Kirkland,Jayne Kirkland,(911) 444-8888,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,TX,75088
69,Katelin,Kennedy,Katelin Kennedy,(911) 444-8888,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,95677
70,Tomasa,Carson,Tomasa Carson,(911) 444-8888,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,NY,11369
71,Takako,Casey,Takako Casey,(911) 444-8888,takako.casey@aol.com,7548 Court Lane ,Bronx,NY,10451
72,Petronila,Norris,Petronila Norris,(911) 444-8888,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,91733
73,Melanie,Hayes,Melanie Hayes,(911) 444-8888,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,NY,13090
74,Georgeann,Waller,Georgeann Waller,(911) 444-8888,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,NY,14120
75,Abby,Gamble,Abby Gamble,(911) 444-8888,abby.gamble@aol.com,60 Myers Dr. ,Amityville,NY,11701
76,Parker,Prince,Parker Prince,(911) 444-8888,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,NY,11776
77,Keri,Bridges,Keri Bridges,(911) 444-8888,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,TX,75080
78,Chi,Goff,Chi Goff,(911) 444-8888,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,90274
79,Ashanti,Parks,Ashanti Parks,(911) 444-8888,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,NY,11510
80,Sarai,Mckee,Sarai Mckee,(716) 912-8110,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,NY,14215
81,Zina,Bonner,Zina Bonner,(911) 444-8888,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,94580
82,Lizzie,Joyner,Lizzie Joyner,(911) 444-8888,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,92236
83,Tiesha,Daniel,Tiesha Daniel,(911) 444-8888,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,NY,10583
84,Armand,Whitehead,Armand Whitehead,(911) 444-8888,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,NY,11757
85,Teofila,Fischer,Teofila Fischer,(911) 444-8888,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,NY,11746
86,Lissa,Vargas,Lissa Vargas,(911) 444-8888,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,NY,13126
87,Yan,Mcgowan,Yan Mcgowan,(911) 444-8888,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,91010
88,Titus,Bullock,Titus Bullock,(911) 444-8888,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,NY,11423
89,Arvilla,Osborn,Arvilla Osborn,(911) 444-8888,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,91784
90,Marjorie,Logan,Marjorie Logan,(911) 444-8888,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,NY,11010
91,Marvin,Mullins,Marvin Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,92111
92,Tena,Cruz,Tena Cruz,(911) 444-8888,tena.cruz@yahoo.com,1 South St. ,Farmingdale,NY,11735
93,Corrina,Sawyer,Corrina Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,NY,12180
94,Sharyn,Hopkins,Sharyn Hopkins,(911) 444-8888,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027
95,Letitia,Franco,Letitia Franco,(911) 444-8888,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,NY,12866
96,Floretta,Higgins,Floretta Higgins,(911) 444-8888,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,NY,11361
97,Louanne,Martin,Louanne Martin,(911) 444-8888,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,95993
98,Violet,Valenzuela,Violet Valenzuela,(911) 444-8888,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,NY,12901
99,Carie,Kidd,Carie Kidd,(911) 444-8888,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,NY,10950
100,Kellie,Franco,Kellie Franco,(911) 444-8888,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,11725
101,Nichelle,Howell,Nichelle Howell,(911) 444-8888,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,10583
102,Marisol,Goodman,Marisol Goodman,(911) 444-8888,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,NY,14424
103,Sylvie,Wilkerson,Sylvie Wilkerson,(911) 444-8888,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,NY,11791
104,Katharina,Bates,Katharina Bates,(911) 444-8888,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,95008
105,Marget,Hodge,Marget Hodge,(911) 444-8888,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,NY,11421
106,Raul,Melendez,Raul Melendez,(911) 444-8888,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,NY,11373
107,Cecil,Hopper,Cecil Hopper,(911) 444-8888,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,NY,11722
108,Shae,Hickman,Shae Hickman,(911) 444-8888,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,NY,11001
109,Monica,Sears,Monica Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,95127
110,Ollie,Zimmerman,Ollie Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,92806
111,Shila,White,Shila White,(911) 444-8888,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,NY,14127
112,Yuk,Vega,Yuk Vega,(911) 444-8888,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,NY,11552
113,Eliana,Silva,Eliana Silva,(911) 444-8888,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,NY,11735
114,Thalia,Horne,Thalia Horne,(911) 444-8888,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,NY,11701
115,Rey,Lindsay,Rey Lindsay,(911) 444-8888,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,NY,10950
116,Merlene,Vinson,Merlene Vinson,(911) 444-8888,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,TX,76039
117,Dacia,William,Dacia William,(911) 444-8888,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,TX,77478
118,Le,Wood,Le Wood,(911) 444-8888,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,NY,14534
119,Thalia,Dillard,Thalia Dillard,(911) 444-8888,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,TX,76901
120,Luz,House,Luz House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,93706
121,Lucy,Woods,Lucy Woods,(911) 444-8888,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,90274
122,Shena,Carter,Shena Carter,(911) 444-8888,shena.carter@yahoo.com,72 University Road ,Howard Beach,NY,11414
123,Robena,Hill,Robena Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,TX,78418
124,Jeni,Booker,Jeni Booker,(911) 444-8888,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,91733
125,Herlinda,Stone,Herlinda Stone,(911) 444-8888,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,NY,14424
126,Lavina,Dejesus,Lavina Dejesus,(911) 444-8888,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,NY,12550
127,Erlinda,Nielsen,Erlinda Nielsen,(911) 444-8888,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,NY,11378
128,Terrance,Lynn,Terrance Lynn,(911) 444-8888,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,NY,12901
129,Walton,Dejesus,Walton Dejesus,(911) 444-8888,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,NY,14094
130,Wes,Stanton,Wes Stanton,(248) 247-5074,wes.stanton@msn.com,8662 Tunnel Street ,Troy,NY,12180
131,Tanesha,Hampton,Tanesha Hampton,(911) 444-8888,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,NY,11791
132,Boyd,Irwin,Boyd Irwin,(911) 444-8888,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,NY,14075
